# k [h/Mpc]    P(k) [(Mpc/h)^3]
1.256637061435917357e-01 2.553983331381459720e+01
1.777153175263346541e-01 9.128302929539700017e+00
2.176559237081061582e-01 7.015239225438563153e+01
2.513274122871834715e-01 1.002487681944330689e+02
2.809925892416290649e-01 9.188722663111548172e+01
3.078119592388474657e-01 7.143334210013563279e+01
3.700917637497813106e-01 8.590304317749541951e+01
3.973835306318440064e-01 5.791817206812766017e+01
4.214124841368823704e-01 1.201280556415440515e+02
4.633490949911595602e-01 1.168593303759735136e+02
5.157808081059649385e-01 1.967641516688617571e+02
5.562287409861307319e-01 1.487376177225188201e+02
6.145590333247586967e-01 1.453912077724655489e+02
6.577785692020221564e-01 1.380962622328970326e+02
7.212053248734492383e-01 1.270737803096195790e+02
7.846170763829919403e-01 1.356834560133260368e+02
8.455372805672847214e-01 1.336273806475282129e+02
9.177440618850537524e-01 1.118944033536924536e+02
1.008504084352406904e+00 1.014854514799458371e+02
1.097902065975618457e+00 1.048249191497043142e+02
1.186723901047551211e+00 8.503148403930667598e+01
1.292905418480278845e+00 7.988138422628405522e+01
1.413326458664741381e+00 7.628985414056211312e+01
1.540967680700553011e+00 6.008249953808402211e+01
1.671828352033317255e+00 5.235772811544723027e+01
1.820054575118664530e+00 4.637827152861606805e+01
1.987406427286812161e+00 4.123756772564655648e+01
2.164918018406409406e+00 3.207928863997067737e+01
2.354480279997907211e+00 2.664577349851553478e+01
2.563326536688273372e+00 2.158516367004893510e+01
2.791116825407835567e+00 1.717510605068586216e+01
3.039400112209604377e+00 1.272969279143995358e+01
3.309223339963101473e+00 9.769293924351632796e+00
3.599562142792462893e+00 7.168534032118879296e+00
3.917621677763146071e+00 5.271471627919000369e+00
4.263807302520073783e+00 3.839002921676516689e+00
4.640584047144914237e+00 2.774840402325137401e+00
5.052821477595650812e+00 2.023111686792768982e+00
5.500555837182687924e+00 1.487911051319758871e+00
5.988231139546841497e+00 1.124250713646264943e+00
6.518306677005511141e+00 8.764649601043741356e-01
7.094994320852138436e+00 7.225062502461780944e-01
7.723652906306734955e+00 6.284442623973733877e-01
