# l TT EE TE
5.700000000000000000e+01 1.569332760089150725e+03 1.800308069039384951e-01 -1.038088149046869857e+00
5.800000000000000000e+01 1.591028585214172608e+03 1.898702066143021228e-01 -1.319104475669918619e+00
5.900000000000000000e+01 1.612915984189345409e+03 2.000023964755278105e-01 -1.614123875966899435e+00
6.000000000000000000e+01 1.634974542687770509e+03 2.104194257978353744e-01 -1.922643885008813891e+00
6.100000000000000000e+01 1.657211405127726721e+03 2.211142102871057891e-01 -2.244192052009134741e+00
6.200000000000000000e+01 1.679632529773300803e+03 2.320831316684398848e-01 -2.578772620794784309e+00
6.300000000000000000e+01 1.702256576764577403e+03 2.433241810019557694e-01 -2.926523849379793152e+00
6.400000000000000000e+01 1.725087347902556530e+03 2.548346065411588590e-01 -3.287576546972538427e+00
6.500000000000000000e+01 1.748150928345803095e+03 2.666138851330647208e-01 -3.662120930792066797e+00
6.600000000000000000e+01 1.771485082168621830e+03 2.786548897880800069e-01 -4.050370269307650872e+00
6.700000000000000000e+01 1.795070297381043474e+03 2.909508198373936261e-01 -4.451790685424486860e+00
6.800000000000000000e+01 1.818869027464213559e+03 3.034919850834214006e-01 -4.865655934587826970e+00
6.900000000000000000e+01 1.842836295768944183e+03 3.162709241865641063e-01 -5.291269473737933993e+00
7.000000000000000000e+01 1.866941980578500761e+03 3.292809190670238362e-01 -5.728127886772217181e+00
7.100000000000000000e+01 1.891163864426982855e+03 3.425177176193445194e-01 -6.176044253936905370e+00
7.200000000000000000e+01 1.915615349021712518e+03 3.559772733642168618e-01 -6.635926815742861251e+00
7.300000000000000000e+01 1.940410312060754222e+03 3.696542917689151775e-01 -7.108740320326186968e+00
7.400000000000000000e+01 1.965558632750105289e+03 3.835375363416815286e-01 -7.594379830303273238e+00
7.500000000000000000e+01 1.991062760432578443e+03 3.976150285530579143e-01 -8.092406131209962439e+00
7.600000000000000000e+01 2.016878658309736011e+03 4.118726536692620122e-01 -8.602283601928737866e+00
7.700000000000000000e+01 2.042880346297305096e+03 4.262996349568597410e-01 -9.122556153942763757e+00
7.800000000000000000e+01 2.069051353728550112e+03 4.408838024681898116e-01 -9.652763263074140454e+00
7.900000000000000000e+01 2.095434635631065703e+03 4.556137301997033595e-01 -1.019274154484619466e+01
8.000000000000000000e+01 2.122050860996513620e+03 4.704779933327948860e-01 -1.074247618921762282e+01
8.100000000000000000e+01 2.148923419906122035e+03 4.854651587455020567e-01 -1.130172478777452483e+01
8.200000000000000000e+01 2.176064304451665066e+03 5.005652420478325926e-01 -1.187007734787372648e+01
8.300000000000000000e+01 2.203451086335701802e+03 5.157667650287409700e-01 -1.244726769946971423e+01
8.400000000000000000e+01 2.231083621868931914e+03 5.310589938048602132e-01 -1.303273255285520982e+01
8.500000000000000000e+01 2.258954338712093431e+03 5.464304532261486935e-01 -1.362628005190917335e+01
8.600000000000000000e+01 2.287059819335263001e+03 5.618716616237441341e-01 -1.422731747822110826e+01
8.700000000000000000e+01 2.315368695956044576e+03 5.773692210450322992e-01 -1.483535713310827830e+01
8.800000000000000000e+01 2.343861184234904158e+03 5.929102414911860963e-01 -1.544988187657559919e+01
8.900000000000000000e+01 2.372547213497760822e+03 6.084818348163218982e-01 -1.607044887513697873e+01
9.000000000000000000e+01 2.401429285117980726e+03 6.240666577832357786e-01 -1.669676388706729497e+01
9.100000000000000000e+01 2.430516957235606242e+03 6.396512828192071343e-01 -1.732831046327587998e+01
9.200000000000000000e+01 2.459810871850877902e+03 6.552208539149307898e-01 -1.796487178347451774e+01
9.300000000000000000e+01 2.489326156316538800e+03 6.707607166729260273e-01 -1.860593454006132319e+01
9.400000000000000000e+01 2.519055653801573044e+03 6.862584473661051954e-01 -1.925128259131176733e+01
9.500000000000000000e+01 2.549014493489478355e+03 7.016986531464197707e-01 -1.990040269517113813e+01
9.600000000000000000e+01 2.579195520563749596e+03 7.170674291085681329e-01 -2.055285592859515731e+01
9.700000000000000000e+01 2.609599009685469355e+03 7.323501298335752807e-01 -2.120820340589160935e+01
9.800000000000000000e+01 2.640232665058977545e+03 7.475313694354974725e-01 -2.186600628058054241e+01
9.900000000000000000e+01 2.671074478734984496e+03 7.625972501097780798e-01 -2.252575146376776871e+01
1.000000000000000000e+02 2.702139585805567094e+03 7.775361050082714165e-01 -2.318692590953856225e+01
1.010000000000000000e+02 2.733420837633134397e+03 7.923332984310055283e-01 -2.384901661686303243e+01
1.020000000000000000e+02 2.764918515270546777e+03 8.069667688488995072e-01 -2.451173348202167190e+01
1.030000000000000000e+02 2.796618044417693454e+03 8.214367423346461417e-01 -2.517426646550936553e+01
1.040000000000000000e+02 2.828519708818199433e+03 8.357137341371962957e-01 -2.583625127950559985e+01
1.050000000000000000e+02 2.860616365193048750e+03 8.497905471557484214e-01 -2.649710083829566898e+01
1.060000000000000000e+02 2.892900871564271711e+03 8.636525585568828323e-01 -2.715615382722237570e+01
1.070000000000000000e+02 2.925366087217944823e+03 8.772925764909773605e-01 -2.781297183864233347e+01
1.080000000000000000e+02 2.957997444307113255e+03 8.906885550503290672e-01 -2.846696795635538990e+01
1.090000000000000000e+02 2.990802661196842564e+03 9.038333076790444620e-01 -2.911748104104059820e+01
1.100000000000000000e+02 3.023767172298433252e+03 9.167047937731402918e-01 -2.976407286618664827e+01
1.110000000000000000e+02 3.056883674453677941e+03 9.292957662354731641e-01 -3.040622765168994945e+01
1.120000000000000000e+02 3.090151626021597167e+03 9.415987172330838595e-01 -3.104319349584594789e+01
1.130000000000000000e+02 3.123562890929218156e+03 9.535912190234432373e-01 -3.167458664810295588e+01
1.140000000000000000e+02 3.157109333878669531e+03 9.652582748365493570e-01 -3.229972629365046544e+01
1.150000000000000000e+02 3.190782820255707520e+03 9.765997472064562590e-01 -3.291808025621055123e+01
1.160000000000000000e+02 3.224582644386347965e+03 9.876006445479582618e-01 -3.352911643276301135e+01
1.170000000000000000e+02 3.258500672741757171e+03 9.982385494796157666e-01 -3.413222851172072581e+01
1.180000000000000000e+02 3.292521343843842715e+03 1.008513332193008427e+00 -3.472681025805139399e+01
1.190000000000000000e+02 3.326643953222999698e+03 1.018410008664942801e+00 -3.531240408183684565e+01
1.200000000000000000e+02 3.360860368276913505e+03 1.027921025671284072e+00 -3.588840390574634398e+01
1.210000000000000000e+02 3.395162456534096691e+03 1.037031404035922089e+00 -3.645420373344749265e+01
1.220000000000000000e+02 3.429534657221777252e+03 1.045733595285211592e+00 -3.700934621793365409e+01
1.230000000000000000e+02 3.463976266240718360e+03 1.054020053243210686e+00 -3.755322552874711306e+01
1.240000000000000000e+02 3.498479151045501567e+03 1.061875805622354507e+00 -3.808523592012187464e+01
1.250000000000000000e+02 3.533027750583492889e+03 1.069300739010930368e+00 -3.860492029902597722e+01
1.260000000000000000e+02 3.567621360293368980e+03 1.076279885404513470e+00 -3.911174737558516767e+01
1.270000000000000000e+02 3.602244418661536201e+03 1.082813135533834181e+00 -3.960511166390320881e+01
1.280000000000000000e+02 3.636888792240644761e+03 1.088885525386850794e+00 -4.008455633327416479e+01
1.290000000000000000e+02 3.671553775628342009e+03 1.094496949527589580e+00 -4.054955035825993548e+01
1.300000000000000000e+02 3.706223806406771018e+03 1.099632447609185437e+00 -4.099948851915168291e+01
1.310000000000000000e+02 3.740883558129576613e+03 1.104291983905280494e+00 -4.143391813297548509e+01
1.320000000000000000e+02 3.775540934240056231e+03 1.108475789185135341e+00 -4.185232784368033521e+01
1.330000000000000000e+02 3.810174360793194410e+03 1.112169305241393680e+00 -4.225428454872481865e+01
1.340000000000000000e+02 3.844784548662360976e+03 1.115387688662985877e+00 -4.263920666834415840e+01
1.350000000000000000e+02 3.879357351839759303e+03 1.118108955573185792e+00 -4.300680984636797888e+01
1.360000000000000000e+02 3.913893480901384919e+03 1.120340836666454454e+00 -4.335643839836407665e+01
1.370000000000000000e+02 3.948378789681953094e+03 1.122076206987952629e+00 -4.368765957918792964e+01
1.380000000000000000e+02 3.982806560413137504e+03 1.123322799210008993e+00 -4.400011501537056091e+01
1.390000000000000000e+02 4.017162647121607733e+03 1.124073490102263095e+00 -4.429337213737061063e+01
1.400000000000000000e+02 4.051455189138984224e+03 1.124328585449438700e+00 -4.456699846219919436e+01
1.410000000000000000e+02 4.085662612768737745e+03 1.124103248262845467e+00 -4.482063587591186149e+01
1.420000000000000000e+02 4.119778201515185174e+03 1.123382928537202563e+00 -4.505377778195986593e+01
1.430000000000000000e+02 4.153802667868697426e+03 1.122175361554497819e+00 -4.526614051743340639e+01
1.440000000000000000e+02 4.187714440047080643e+03 1.120488282683012260e+00 -4.545729193415498059e+01
1.450000000000000000e+02 4.221514232245328458e+03 1.118314570519623574e+00 -4.562672568066645340e+01
1.460000000000000000e+02 4.255173046336847619e+03 1.115669388482606994e+00 -4.577423261810864119e+01
1.470000000000000000e+02 4.288684170481714318e+03 1.112560471244802063e+00 -4.589923226695283631e+01
1.480000000000000000e+02 4.322033465884471298e+03 1.108988124566850253e+00 -4.600144135666872813e+01
1.490000000000000000e+02 4.355206795304180559e+03 1.104960081823656903e+00 -4.608042812275128597e+01
1.500000000000000000e+02 4.388190023213966924e+03 1.100484075479628343e+00 -4.613576087166894979e+01
1.510000000000000000e+02 4.420961385336659987e+03 1.095567803466539258e+00 -4.616715389687221460e+01
1.520000000000000000e+02 4.453528023734937051e+03 1.090218828678677143e+00 -4.617431096301159954e+01
1.530000000000000000e+02 4.485874595326642520e+03 1.084452107457533732e+00 -4.615693325015681836e+01
1.540000000000000000e+02 4.518000616053526755e+03 1.078282594491677848e+00 -4.611487056725153622e+01
1.550000000000000000e+02 4.549898175969288786e+03 1.071710385922700626e+00 -4.604774993213315071e+01
1.560000000000000000e+02 4.581574224421220606e+03 1.064757860899224751e+00 -4.595542127001471044e+01
1.570000000000000000e+02 4.613006000070658047e+03 1.057425111276003138e+00 -4.583758599337945583e+01
1.580000000000000000e+02 4.644200457806854502e+03 1.049741939863280349e+00 -4.569401984984098419e+01
1.590000000000000000e+02 4.675142270396102504e+03 1.041708433419503033e+00 -4.552449863594410573e+01
1.600000000000000000e+02 4.705823541971684790e+03 1.033346960896260658e+00 -4.532887247792675822e+01
1.610000000000000000e+02 4.736221523059351057e+03 1.024672459827950854e+00 -4.510684297843262414e+01
1.620000000000000000e+02 4.766328324041135602e+03 1.015699864470838154e+00 -4.485833463120899722e+01
1.630000000000000000e+02 4.796136058503663662e+03 1.006458962290836423e+00 -4.458297483374452952e+01
1.640000000000000000e+02 4.825621986571990419e+03 9.969498236478869790e-01 -4.428076243592032313e+01
1.650000000000000000e+02 4.854785656680336615e+03 9.871948000327807060e-01 -4.395139918559355152e+01
1.660000000000000000e+02 4.883611763825268099e+03 9.772162387998886146e-01 -4.359480971020139606e+01
1.670000000000000000e+02 4.912092434605687231e+03 9.670364829509296989e-01 -4.321084437982109705e+01
1.680000000000000000e+02 4.940219798846655067e+03 9.566778709173618944e-01 -4.279957643823583169e+01
1.690000000000000000e+02 4.967985989558444999e+03 9.461627363441261762e-01 -4.236085629896365390e+01
1.700000000000000000e+02 4.995383142880837113e+03 9.355059795218754193e-01 -4.189460867630124596e+01
1.710000000000000000e+02 5.022395969662798052e+03 9.247373522217706698e-01 -4.140075829884616354e+01
1.720000000000000000e+02 5.049031468779537136e+03 9.138791724291012164e-01 -4.087930419001599347e+01
1.730000000000000000e+02 5.075266928583595472e+03 9.029537524789527092e-01 -4.033017109805255984e+01
1.740000000000000000e+02 5.101094496896673263e+03 8.919833988438663486e-01 -3.975335806002868821e+01
1.750000000000000000e+02 5.126513752538051449e+03 8.810052686222610285e-01 -3.914901268234474685e+01
1.760000000000000000e+02 5.151509554171827403e+03 8.700342452740861265e-01 -3.851706117343393743e+01
1.770000000000000000e+02 5.176074727306065142e+03 8.591075616025024564e-01 -3.785750983444445694e+01
1.780000000000000000e+02 5.200194805351779905e+03 8.482476047109913653e-01 -3.717044069651071680e+01
1.790000000000000000e+02 5.223870180485846504e+03 8.374767548068954293e-01 -3.645586149747129667e+01
1.800000000000000000e+02 5.247093818436285801e+03 8.268322417035463001e-01 -3.571392852931801087e+01
1.810000000000000000e+02 5.269851258313358812e+03 8.163438595747593007e-01 -3.494479806811715861e+01
1.820000000000000000e+02 5.292142897487851769e+03 8.060413951145464218e-01 -3.414855208741609971e+01
1.830000000000000000e+02 5.313961706365598729e+03 7.959471989999539199e-01 -3.332534682213809418e+01
1.840000000000000000e+02 5.335293228211872702e+03 7.860984707594593779e-01 -3.247541276545050692e+01
1.850000000000000000e+02 5.356137864027015894e+03 7.765324018950653384e-01 -3.159868324809695039e+01
1.860000000000000000e+02 5.376481158972132107e+03 7.672713190090073576e-01 -3.069553727024090151e+01
1.870000000000000000e+02 5.396323515599959137e+03 7.583457115222337341e-01 -2.976605666323137811e+01
1.880000000000000000e+02 5.415657908638432673e+03 7.497957171829545686e-01 -2.881054607088097441e+01
1.890000000000000000e+02 5.434469884830726187e+03 7.416525510345323147e-01 -2.782916152868197912e+01
1.900000000000000000e+02 5.452759847832930973e+03 7.339503906262941912e-01 -2.682220759451129055e+01
1.910000000000000000e+02 5.470520773018276486e+03 7.267211760249540076e-01 -2.578998877828519909e+01
1.920000000000000000e+02 5.487738207341176349e+03 7.199998095220887517e-01 -2.473258668807524785e+01
1.930000000000000000e+02 5.504405125911833238e+03 7.138196984947687840e-01 -2.365030572770939798e+01
1.940000000000000000e+02 5.520529360231497776e+03 7.082164694568467977e-01 -2.254359880981772690e+01
1.950000000000000000e+02 5.536096456337907512e+03 7.032257394382501747e-01 -2.141269593483007228e+01
1.960000000000000000e+02 5.551106816465573502e+03 6.988831158766074525e-01 -2.025804988846330090e+01
1.970000000000000000e+02 5.565560842267191219e+03 6.952256821869756687e-01 -1.907996482064368848e+01
1.980000000000000000e+02 5.579458934748827232e+03 6.922890263283014711e-01 -1.787881909241306744e+01
1.990000000000000000e+02 5.592779209167973931e+03 6.901087263895093749e-01 -1.665491670528765766e+01
2.000000000000000000e+02 5.605536921798080584e+03 6.887203505128955960e-01 -1.540878443159907540e+01
2.010000000000000000e+02 5.617717550619495341e+03 6.881616715235681081e-01 -1.414065134507712429e+01
2.020000000000000000e+02 5.629313744661269993e+03 6.884681684372033761e-01 -1.285111592504452815e+01
2.030000000000000000e+02 5.640303231353400406e+03 6.896767820075376809e-01 -1.154040466124196129e+01
2.040000000000000000e+02 5.650693450778127954e+03 6.918236999876752336e-01 -1.020904108277976086e+01
2.050000000000000000e+02 5.660454700546995809e+03 6.949458427676212802e-01 -8.857474336838556894e+00
2.060000000000000000e+02 5.669594419344709422e+03 6.990786348461972555e-01 -7.486079184871451631e+00
2.070000000000000000e+02 5.678097760179874058e+03 7.042597189922880085e-01 -6.095237710653205632e+00
2.080000000000000000e+02 5.685957303849253549e+03 7.105252420655532308e-01 -4.685554738633953775e+00
